RCR;ISIL;LIBELLE
027222101;FR-027222101;SOISSONS-BU
027222301;FR-027222301;SOISSONS-Grand Séminaire
027225201;FR-027225201;SOISSONS-Ecole infirmières
027225301;FR-027225301;SOISSONS-Sté historique
027226201;FR-027226201;SOISSONS-BM
027226301;FR-027226301;SOISSONS-BDP Aisne
027386201;FR-027386201;TERGNIER-BM
027896301;FR-027896301;VERVINS-BDP Annexe
028106201;FR-028106201;VILLIERS-COTTERETS-Méd. Dumas
028306201;FR-028306201;WASSIGNY-BM
030485101;FR-030485101;CERILLY-Musee C. L. Philippe
030826301;FR-030826301;COMMENTRY-Médiathèque dep.
030856301;FR-030856301;COULANDON-BDP Allier
030956201;FR-030956201;CUSSET-BM
031185201;FR-031185201;GANNAT-Musée municipal
031186201;FR-031186201;GANNAT-BM
031852201;FR-031852201;MONTLUCON-BU
031856201;FR-031856201;MONTLUCON-Médiathèque
031902201;FR-031902201;MOULINS-BU
031905101;FR-031905101;MOULINS-DDE Allier
031905102;FR-031905102;MOULINS-Bib. du CNCS
031905201;FR-031905201;MOULINS-CDDP Allier
031905202;FR-031905202;MOULINS-Ecole de musique
031905401;FR-031905401;MOULINS/ALLIER-Doc. Croix Rouge
031905402;FR-031905402;MOULINS-Bib. Grand Séminaire
031906101;FR-031906101;MOULINS-BM
033102201;FR-033102201;VICHY-Médiathèque Orangerie
033105201;FR-033105201;VICHY-Ecole de musique
033105202;FR-033105202;VICHY-Musée de l'opéra
033105203;FR-033105203;VICHY-CREPS Auvergne
033106201;FR-033106201;VICHY-Médiathèque
033215101;FR-033215101;YZEURE-Archives Départementale
033215201;FR-033215201;YZEURE-CH Moulins Yzeure
033216201;FR-033216201;YZEURE-Bib. J. Prévert
040196401;FR-040196401;BARCELONNETTE-Médiathèque
040496201;FR-040496201;CHATEAU-ARNOUX-BM L.Joseph
040702201;FR-040702201;AIX-MARSEILLE1-IUT Digne
040702202;FR-040702202;AIX-MRS-Digne-Inspé
040705101;FR-040705101;DIGNE-LES-BAINS-Archives depart
040706201;FR-040706201;DIGNE-LES-BAINS-BM
040706301;FR-040706301;DIGNES/BAINS-BDP
040885101;FR-040885101;FORCALQUIER-Archives Municipales
040885301;FR-040885301;FORCALQUIER-Alpes de lumière
041125101;FR-041125101;MANOSQUE-Centre Jean Giono
041125102;FR-041125102;MANOSQUE-Archives municipales
041125401;FR-041125401;MANOSQUE-Arch.Propos de campagne
041126201;FR-041126201;MANOSQUE-BM Herbès
041922301;FR-041922301;AIX-MRS-St Michel-OHP
042096201;FR-042096201;SISTERON-BM A.Roman
050236201;FR-050236201;BRIANCON-BM
050465101;FR-050465101;EMBRUN-Archives municipales
050612101;FR-050612101;AIX-MRS-Gap
050615101;FR-050615101;GAP-Archives départementales
050615201;FR-050615201;GAP-Musée Muséum départ.
050615202;FR-050615202;GAP-Conservatoire botanique nat.
050615301;FR-050615301;GAP-Societe Etudes Htes Alpes
050616201;FR-050616201;GAP-BM
050616301;FR-050616301;GAP-BDP Hautes Alpes
060042301;FR-060042301;ANTIBES-INRA-Lab.Protec.Végé
060042302;FR-060042302;ANTIBES-Groupe rég.Phytosan.
060042304;FR-060042304;ANTIBES-INRA-IPMSV
060042306;FR-060042306;ANTIBES-INRA-UMR R.O.S.E.
060045101;FR-060045101;ANTIBES-Musee Picasso
060046201;FR-060046201;ANTIBES-Mediath.A.Camus
060182301;FR-060182301;ANTIBES-INRA-Horticulture
060185101;FR-060185101;BIOT-Musée national F. Léger
060185201;FR-060185201;SOPHIA ANTIPOLIS-ANSES
060276201;FR-060276201;CAGNES/MER-BM
060292201;FR-060292201;CANNES-IUT
060295401;FR-060295401;CANNES-Thales Alenia Space
060296201;FR-060296201;CANNES-Médiathèque municipal
060306201;FR-060306201;LE CANNET-BM
060335101;FR-060335101;CARROS-Centre de doc. CIAC
060336201;FR-060336201;CARROS-Méd. A. Verdet
060692301;FR-060692301;GRASSE-Musée Art/Hist Provence
060695201;FR-060695201;GRASSE-Musée Intern Parfumerie
060696201;FR-060696201;GRASSE-Villa St Hilaire
060796201;FR-060796201;MANDELIEU LA NAPOULE-BM
060832201;FR-060832201;MENTON-IUT
060832301;FR-060832301;MENTON-FNSP-Bibliothèque
060835101;FR-060835101;MENTON-Musee beaux-arts
060835201;FR-060835201;MENTON-Jardin botanique
060836201;FR-060836201;MENTON-BM
060845101;FR-060845101;MOUANS-SARTOUX-EAC
060845301;FR-060845301;MOUANS SARTOUX-CRD Occitane
060846201;FR-060846201;MOUANS-SARTOUX-Médiathèque
060856201;FR-060856201;MOUGINS-BM
060882101;FR-060882101;NICE-BU Sciences
060882102;FR-060882102;NICE-BU Médecine Odontologie
060882103;FR-060882103;NICE-BU Droit Science politique
060882104;FR-060882104;NICE-BU Lettres Arts Sci.Hum.
060882105;FR-060882105;NICE-BU St-Jean d'Angély
060882202;FR-060882202;NICE-Bibl.Mathématiques
060882230;FR-060882230;NICE-UFR Méd.-Pharmacologie
060882232;FR-060882232;NICE-Univ.-UMR Astrophysique
060882233;FR-060882233;NICE-IUT
060882236;FR-060882236;NICE-STAPS
060882301;FR-060882301;NICE-C.Et.Biol.Océanographique
060882302;FR-060882302;NICE-Musée Nat.Marc Chagall
060882303;FR-060882303;NICE-Museum Hist.Naturelle
060882304;FR-060882304;NICE-ENSA Villa Arson Bib.
060882305;FR-060882305;NICE-Institut européen
060882306;FR-060882306;NICE-CEPAM
060884001;FR-060884001;NICE-Lycée hôtelier P.Augier
060885101;FR-060885101;NICE-Archives Municipales
060885102;FR-060885102;NICE-Archives Départementales
060885103;FR-060885103;NICE-Conseil départemental
060885104;FR-060885104;NICE-CHU Pasteur Documentation
060885105;FR-060885105;NICE-Bibl.Chevalier de Cessole
060885107;FR-060885107;NICE-Musee d'art moderne
060885108;FR-060885108;NICE-Maison de l'environnement
060885109;FR-060885109;NICE-Théâtre Photo. et Image
060885110;FR-060885110;NICE-Musée du Palais Lascaris
060885111;FR-060885111;NICE-Jardin botanique
060885112;FR-060885112;NICE-Centre de doc. Patrimoine
060885113;FR-060885113;NICE-Centre de doc. Opéra
060885114;FR-060885114;NICE-Centre de doc. Urbanisme
060885115;FR-060885115;NICE-CUM
060885116;FR-060885116;NICE-Musée National Sport
060885203;FR-060885203;NICE-Musée archéol.Cimiez
060885206;FR-060885206;NICE-CDDP Alpes Maritimes
060885209;FR-060885209;NICE-Observatoire Côte d'Azur
060885210;FR-060885210;NICE-Musée Matisse
060885211;FR-060885211;NICE-Musée Terra Amata
060885212;FR-060885212;NICE-CRR
060885213;FR-060885213;NICE-MAMAC
060885214;FR-060885214;NICE-Ecole Arts Plastiques
060885215;FR-060885215;NICE-Musée des Beaux-Arts
060885216;FR-060885216;NICE-Musée Anatole Jakovsky
060885217;FR-060885217;NICE-Bibliothèque du Sénat
060885218;FR-060885218;NICE-Bib. Service Archéologie
060885301;FR-060885301;NICE-CCI
060885302;FR-060885302;NICE-Ecole service social
060885303;FR-060885303;NICE-Centre RITIMO
060885304;FR-060885304;NICE-C.E.SE.GU.MO
060885401;FR-060885401;NICE-Séminaire-Bibl.Diocésai
060885402;FR-060885402;NICE-Centre Antoine Lacassagne
060885403;FR-060885403;NICE-CH Sainte-Marie
060885404;FR-060885404;NICE-Institut EURECOM
060885405;FR-060885405;NICE-Bib. Kawabata
060886101;FR-060886101;NICE- BMVR Louis Nucéra
060886102;FR-060886102;NICE-Médiathèque Section Etu
060886103;FR-060886103;NICE-Bibliothèque Romain Gary
060886104;FR-060886104;NICE-Bibliothèque Magnan
060886105;FR-060886105;NICE-Bibliothèque Thiole
060886106;FR-060886106;NICE-Mediabus
060886107;FR-060886107;NICE-Bibliothèque Cimiez
060886108;FR-060886108;NICE-Bib. Fontaine du Temple
060886109;FR-060886109;NICE- Bibliothèque Caucade
060886110;FR-060886110;NICE-Bibliothèque Les Moulins
060886111;FR-060886111;NICE-Bibliothèque Risso
060886112;FR-060886112;NICE-Bib. Maeyer-Le Port
060886113;FR-060886113;NICE-Bibliothèque Saint Roch
060886114;FR-060886114;NICE-Bibliothèque l'Ariane
060886115;FR-060886115;NICE-Bibliothèque Terra Amata
060886116;FR-060886116;NICE-Bibliothèque Jorgi Tasso
060886301;FR-060886301;NICE-BDP Alpes Maritimes
060889901;FR-060889901;NICE-Bibliotheque electronique
060946301;FR-060946301;PEONE-Médiathèque valbergane
061276201;FR-061276201;ST MARTIN VESUBIE-Méd. Vallé
061282301;FR-061282301;ST-PAUL-DE-VENCE-Fond.Maeght
061306201;FR-061306201;ST VALLIER DE THIEY-BM
061496201;FR-061496201;LA TRINITE-BM
061505101;FR-061505101;LA TURBIE-Bibl.Barbera-Bernard
061506201;FR-061506201;LA TURBIE-Mediatheque Four Banal
061522101;FR-061522101;NICE-Learning Centre SophiaTech.
061522202;FR-061522202;NICE-Univ.-Géosciences Azur
061522302;FR-061522302;SOPHIA ANTIPOLIS-Mines ParisTech
061522305;FR-061522305;SOPHIA ANTIPOLIS-INRIA-3S
061522306;FR-061522306;VALBONNE-Inst.Pharmacol.Mol.
061522307;FR-061522307;VALBONNE-Inst. de Physique
061522308;FR-061522308;SOPHIA/ANT.-Doc.Institut Eurecom
061525201;FR-061525201;SOPHIA/ANT.-C.Sci.Tech.Batiment
061525404;FR-061525404;SOPHIA/ANT.-Thales Und. Systems
061526201;FR-061526201;VALBONNE-Méd. Communautaire
061556201;FR-061556201;VALLAURIS-BM
061576201;FR-061576201;VENCE-BM
061592201;FR-061592201;VILLEFRANCHE/MER-SU-Obs.Océan.
061596201;FR-061596201;VILLEFRANCHE/MER-Intercommunale
061615401;FR-061615401;VILLENEUVE-LOUBET-Mus. Escoffier
061616201;FR-061616201;VILLENEUVE LOUBET-BM
070076401;FR-070076401;ALBOUSSIERE-Intercommunale
070105101;FR-070105101;ANNONAY-Archives municipales
070106201;FR-070106201;ANNONAY-BM
070195301;FR-070195301;AUBENAS-Maison de l'image
070196201;FR-070196201;AUBENAS-BM
071026201;FR-071026201;GUILHERAND GRANGES-BM
071865101;FR-071865101;PRIVAS-CH
071865102;FR-071865102;PRIVAS-AD Ardèche
071866201;FR-071866201;PRIVAS-Médiathèque
071866301;FR-071866301;PRIVAS-BDP Ardeche
073244001;FR-073244001;TOURNON-Collège
073246201;FR-073246201;TOURNON/RHONE-BM
073465301;FR-073465301;VIVIERS-Bib du Grand séminaire
073485401;FR-073485401;VOGUE-Sté amis de J. Chieze
081052201;FR-081052201;CHARLEVILLE MEZIERES-IFTS
081052203;FR-081052203;CHARLEVILLE MEZIERES-BU
081055101;FR-081055101;CHARLEVILLE MEZIERES-Archives D.
081055102;FR-081055102;CHARLEVILLE MEZIERES-Inst.Marion
081055103;FR-081055103;CHARLEVILLE MEZIERES-CDDP Arden.
081055202;FR-081055202;CHARLEVILLE MEZIERES-CH Belair
081056201;FR-081056201;CHARLEVILLE MEZIERES-BM
081056301;FR-081056301;CHARLEVILLE MEZIERES-BDP Arden.
083626201;FR-083626201;RETHEL-BM
084095301;FR-084095301;SEDAN-Bib. histoire et archéo.
084096201;FR-084096201;SEDAN-Médiathèque
084196401;FR-084196401;SIGNY/ABBAYE-Médiathèque
084906201;FR-084906201;VOUZIERS-BM
090775301;FR-090775301;CAPOULET/JUNAC-Musee
091222201;FR-091222201;FOIX/TOULOUSE2-BU
091225101;FR-091225101;FOIX-Archives Dép.
091225103;FR-091225103;FOIX-Insp.Acad.-CIO
091225201;FR-091225201;FOIX-CDDP
091226201;FR-091226201;FOIX-BM
091226301;FR-091226301;FOIX-BDP
091606201;FR-091606201;LAVELANET-Médiathèque
092065101;FR-092065101;MONTFERRIER-Musee
092255101;FR-092255101;PAMIERS-Archives Municipales
092255401;FR-092255401;PAMIERS-Bib. évêché
092256201;FR-092256201;PAMIERS-BM
092616201;FR-092616201;SAINT-GIRONS-Médiathèque
092826201;FR-092826201;SAVERDUN-BM F. Mitterrand
100036201;FR-100036201;AIX-EN-OTHE-BM
100066201;FR-100066201;ARCIS-SUR-AUBE-Médiathèque
100336201;FR-100336201;BAR-SUR-AUBE-BM
100346201;FR-100346201;BAR/SEINE-Bib. Goncourt
100646201;FR-100646201;BRIENNE LE CHÂTEAU-BM
100816201;FR-100816201;LA CHAPELLE ST LUC-BM
100846401;FR-100846401;CHARMONT-SOUS-BARBUISE-Médiath
102375301;FR-102375301;Mesnil-St-Loup-Bib.Monastere ND
102616201;FR-102616201;MUSSY/SEINE-BM
102686201;FR-102686201;NOGENT SUR SEINE-BM
102875301;FR-102875301;PINEY-Parc Naturel Forêt Orien
103176201;FR-103176201;LES RICEYS-BM
103236201;FR-103236201;ROMILLY/SEINE-BM F. Mitterrand
103336301;FR-103336301;ST ANDRE LES V.-BDP Aube
103872101;FR-103872101;TROYES-BU Comtes de Champagne
103872102;FR-103872102;TROYES-SCD-UTT
103872201;FR-103872201;TROYES-IUT
103872202;FR-103872202;TROYES-BU
103875101;FR-103875101;TROYES-Archives Départementale
103875104;FR-103875104;TROYES-CDDP Aube
103875202;FR-103875202;TROYES-Mus.Art/Histoire
103875203;FR-103875203;TROYES-Musée aubois
103875204;FR-103875204;TROYES-Bib. Conservat. Landowski
103875301;FR-103875301;TROYES-Ecole de Commerce
103875303;FR-103875303;TROYES-Inst.Textile de France
103875304;FR-103875304;TROYES-Int.Biotechnologique
103875305;FR-103875305;TROYES-Mais.Outil Pens.Ouvrièr
103875306;FR-103875306;TROYES-C.UNESCO L.François
103875307;FR-103875307;TROYES-Bibl.Médico-Sportive IM
103875401;FR-103875401;TROYES-Sté Académique de l'A
103875402;FR-103875402;TROYES-Bib. cathédrale
103876101;FR-103876101;TROYES-MGT
103876201;FR-103876201;TROYES-Médiathèque Chartreux
103876202;FR-103876202;TROYES-Médiathèque Marots
110692201;FR-110692201;CARCASSONNE-INSPE-FDE
110695102;FR-110695102;AUDE-Archives départementales
110695103;FR-110695103;CARCASSONNE-Musee beaux-arts
110695104;FR-110695104;CARCASSONNE-Centre Joe Bousquet
110695301;FR-110695301;CARCASSONNE-BIB.diocésaine
110695401;FR-110695401;CARCASSONNE-ND de l'abbaye
110696201;FR-110696201;CARCASSONNE-BM
110696301;FR-110696301;CARCASSONNE-BDP Aude
110766201;FR-110766201;CASTELNAUDARY-BM P.Barthas
110766401;FR-110766401;CASTELNAUDARY/Bib. Intercom.
111325101;FR-111325101;FABREZAN-Musee Charles-Cros
112066201;FR-112066201;LIMOUX-BM
112615101;FR-112615101;MOUX-Archives municipales
112622101;FR-112622101;NARBONNE-BU
112625101;FR-112625101;NARBONNE-Archives municipales
112625102;FR-112625102;NARBONNE-Musée  Archevêques
112626201;FR-112626201;NARBONNE-BM
112626301;FR-112626301;NARBONNE-BDP
113675401;FR-113675401;SAISSAC-Domicile privé M. Jean
120336201;FR-120336201;BOZOULS-Médiathèque
120896201;FR-120896201;DECAZEVILLE-BM
120925101;FR-120925101;DURENQUE-Musee F. Fabié
121455101;FR-121455101;MILLAU-Archives municipales
121456201;FR-121456201;MILLAU-BM
121766201;FR-121766201;ONET/CHÂTEAU-BM P. Géraldini
122022101;FR-122022101;RODEZ-Bib.Universitaire
122022201;FR-122022201;RODEZ-IUT
122022301;FR-122022301;RODEZ-INSPE
122024001;FR-122024001;RODEZ-Lycée Agric.Dép.
122025101;FR-122025101;RODEZ-Archives Départementales
122025102;FR-122025102;RODEZ-Centre doc. Art et culture
122025103;FR-122025103;RODEZ-Archives municipales
122025302;FR-122025302;RODEZ-Ste des lett., sci., arts
122025402;FR-122025402;RODEZ-Bib. Evêché
122026201;FR-122026201;RODEZ-Mediathèque
122026301;FR-122026301;RODEZ-BDP
122086201;FR-122086201;ST AFFRIQUE-Bib. Intercommunale
122086301;FR-122086301;ST AFFRIQUE-BDP Annexe
122246201;FR-122246201;SAINT-GENIEZ-D'OLT-BM
122375301;FR-122375301;ST LAURENT D'OLT-Musee
122385101;FR-122385101;ST LEONS-Musee J.H. Fabre
123006201;FR-123006201;VILLEFRANCHE DE ROUERGUE-BM
130012101;FR-130012101;AIX-MRS-Aix-Lettres Sci. Humain.
130012102;FR-130012102;AIX-MRS-Aix-Droit Eco.
130012103;FR-130012103;AIX-MRS-Aix-Montperrin-Sci.
130012104;FR-130012104;AIX-MRS-Aix-Eco. Gestion
130012202;FR-130012202;AIX-MRS-Aix-Droit prive
130012204;FR-130012204;AIX-MRS-Puyricard-IAE
130012205;FR-130012205;AIX-MRS-Aix-ISPEC
130012206;FR-130012206;AIX-MRS-Aix-IEP
130012216;FR-130012216;AIX-MRS-Aix-CREEADP
130012217;FR-130012217;AIX-MRS-IAAM
130012218;FR-130012218;AIX-MRS-Aix-Theorie droit
130012219;FR-130012219;AIX-MRS-Aix-Histoire des instit.
130012223;FR-130012223;AIX-MRS-Aix-IUT IC-ML
130012224;FR-130012224;AIX-MRS-Aix-Isaac-Inspé
130012229;FR-130012229;AIX-MRS-Aix-Schweitzer-IUT-CS-GU
130012232;FR-130012232;AIX-MRS-Aix-Gaston Berger-IUT
130012234;FR-130012234;AIX-MRS-Aix-Poncet
130012235;FR-130012235;AIX-MRS-Aix-IMPGT
130012236;FR-130012236;AIX-MRS-Aix-LPL
130012237;FR-130012237;AIX-MRS-IREA
130012238;FR-130012238;AIX-MRS-IFURTA
130012239;FR-130012239;AIX-MRS-CDMT
130012301;FR-130012301;AIX-EN-PROVENCE-BIAA
130012302;FR-130012302;AIX-EN-PROVENCE-Arts et Metiers
130012303;FR-130012303;AIX-MRS-Aix-CEREGE
130012304;FR-130012304;AIX-EN-PROVENCE-LAMPEA
130012305;FR-130012305;AIX-EN-PROV.-Maison Sci. Homme
130012306;FR-130012306;AIX-EN-PROVENCE-LEST
130012307;FR-130012307;AIX-EN-PROVENCE-LA3M
130015101;FR-130015101;AIX-EN-PROVENCE-ANOM
130015104;FR-130015104;AIX/PROVENCE-Musee Atel. Cezanne
130015105;FR-130015105;AIX-EN-PROVENCE-ESAAIX
130015202;FR-130015202;AIX-EN-PROV.-C.Doc.Forêt Méd
130015204;FR-130015204;AIX EN PROVENCE-ARCAMC
130015205;FR-130015205;AIX/PROVENCE-Fond. St John Perse
130015206;FR-130015206;AIX-EN-PROVENCE - Musees Med.
130015207;FR-130015207;AIX-EN-PROVENCE-Archéologie
130015208;FR-130015208;AIX-EN-PROVENCE-ARL PACA
130015301;FR-130015301;AIX-EN-PROVENCE-Musée P Arbaud
130015401;FR-130015401;AIX-EN-PROVENCE-Fac Jean Calvin
130015402;FR-130015402;AIX-EN-PROVENCE-Bib diocésaine
130016101;FR-130016101;AIX-EN-PROVENCE-BM Méjanes
130016401;FR-130016401;MARSEILLE-Office central bibl.
130026201;FR-130026201;ALLAUCH-BM
130042201;FR-130042201;AIX-MARSEILLE1-IUT Arles
130042202;FR-130042202;AIX-MRS-Arles-Antenne univ.
130045101;FR-130045101;ARLES-Archives
130045201;FR-130045201;ARLES-C.Hospit. gen.(PEB PSI)
130045202;FR-130045202;ARLES-Musée Réattu
130045203;FR-130045203;ARLES-Musée dép. antique
130045204;FR-130045204;ARLES-Museon Arlaten/CERCO
130046201;FR-130046201;ARLES-BM
130052201;FR-130052201;AIX-MRS-Aubagne-SATIS
130056201;FR-130056201;AUBAGNE-Méd. M. Pagnol
130146201;FR-130146201;BERRE L'ETANG
130156201;FR-130156201;BOUC BEL AIR-BM
130246201;FR-130246201;CHARLEVAL-BM
130266201;FR-130266201;CHATEAUNEUF/MARTIGUES-Med. Izzo
130276201;FR-130276201;CHATEAURENARD-BM I. Rollande
130282201;FR-130282201;AIX-MRS-La Ciotat-IUT HSE
130285301;FR-130285301;LA CIOTAT-Musee
130286201;FR-130286201;LA CIOTAT-Bib. R. Rolland
130286202;FR-130286202;LA CIOTAT-Médiathèque S Veil
130412301;FR-130412301;GARDANNE-Centre microélec.
130416201;FR-130416201;GARDANNE-BM
130445301;FR-130445301;GRANS-Centre M-P Delavouët
130546201;FR-130546201;MARIGNANE-Bib. J. d'Ormesson
130552101;FR-130552101;AIX-MRS-Marseille-Nord-Med.
130552102;FR-130552102;AIX-MRS-Marseille-St-Jerome.-Sci
130552103;FR-130552103;AIX-MRS-Marseille-Timone-Med-Odo
130552104;FR-130552104;AIX-MRS-Marseille-St-Charl.-Sci.
130552105;FR-130552105;AIX-MRS-Marseille-Timone-Pharma
130552106;FR-130552106;AIX-MRS-Marseille-Luminy-Sci.
130552108;FR-130552108;AIX-MRS-Marseille-Droit Eco.
130552109;FR-130552109;AIX-MRS-Marseille-Eco Gestion
130552205;FR-130552205;AIX-MRS-Marseille-OAMP
130552206;FR-130552206;AIX-MRS-Marseille-COM
130552208;FR-130552208;AIX-MRS-MARSEILLE-Med. légale
130552209;FR-130552209;AIX-MRS-AIX-IESM
130552210;FR-130552210;AIX-MARSEILLE-IFMK
130552313;FR-130552313;MARSEILLE-CDSS
130552315;FR-130552315;MARSEILLE-CPPM
130552316;FR-130552316;AIX-MRS-Marseille-CRFCB
130552317;FR-130552317;MARSEILLE-IRPHE
130552318;FR-130552318;MARSEILLE-MAP
130552319;FR-130552319;MARSEILLE- Ecole Architecture
130555101;FR-130555101;MARSEILLE-Museum hist naturelle
130555102;FR-130555102;MARSEILLE-Archives dép
130555103;FR-130555103;MARSEILLE-CCIAMP
130555104;FR-130555104;AIX-MRS-MARSEILLE-UMR  7268-EEM
130555106;FR-130555106;MARSEILLE-Musée histoire Marse
130555107;FR-130555107;MARSEILLE-Archives municipales
130555108;FR-130555108;MARSEILLE-Cabinet médailles
130555109;FR-130555109;MARSEILLE-Beaux-Arts
130555111;FR-130555111;MARSEILLE-Conseil régional
130555112;FR-130555112;MARSEILLE-Musée arts africains
130555113;FR-130555113;MARSEILLE-Musée arts dec mode
130555114;FR-130555114;MARSEILLE-CEREQ
130555115;FR-130555115;MARSEILLE-MuCEM
130555201;FR-130555201;MARSEILLE-Musée archéo méd
130555203;FR-130555203;MARSEILLE-IPC unicancer
130555205;FR-130555205;MARSEILLE-Canopé 13
130555206;FR-130555206;MARSEILLE-CIRM
130555208;FR-130555208;AIX-MRS-Marseille-UMR7268-Anthro
130555213;FR-130555213;MARSEILLE-CICRP
130555301;FR-130555301;MARSEILLE-Assoc. Prév. Toxico.
130555302;FR-130555302;MARSEILLE-CIPM
130555401;FR-130555401;MARSEILLE-Kedge
130555402;FR-130555402;MARSEILLE-IFSI La Blancarde
130555403;FR-130555403;AIX-MRS-Marseille-UMR 7268-EFS
130556101;FR-130556101;MARSEILLE-BMVR
130556301;FR-130556301;MARSEILLE-BDP Bouches du Rhône
130559901;FR-130559901;AIX-MARSEILLE2-Bib.electronique
130559902;FR-130559902;AIX-MARSEILLE1-Bib.electronique
130559903;FR-130559903;AIX-MARSEILLE3-Bib. Élec.
130559904;FR-130559904;AIX-MRS-Bib. electronique
130565301;FR-130565301;MARTIGUES-CYPRES
130566201;FR-130566201;MARTIGUES-Méd. L. Aragon
130636201;FR-130636201;MARAMAS-Méd. Intercommunale
130716201;FR-130716201;LES PENNES MIRABEAU-Méd. Camus
130756201;FR-130756201;PLAN-DE-CUQUES-BM
130776201;FR-130776201;PORT DE BOUC-Méd. B. Vian
130816201;FR-130816201;ROGNAC-BM
130976201;FR-130976201;ST MARTIN DE CRAU-BM
130995201;FR-130995201;CADARACHE-CEA
131006201;FR-131006201;ST REMY DE PROVENCE-BM
131006301;FR-131006301;ST REMY/PROVENCE-BDP Annexe
131032301;FR-131032301;SALON-DE-PROV-Ecole de l'air
131036201;FR-131036201;SALON DE PROVENCE-BM
131066201;FR-131066201;SEPTEMES-LES-VALLONS-BM
131086201;FR-131086201;TARASCON-BM
131176201;FR-131176201;VITROLLES-BM G. Sand
132015201;FR-132015201;MARSEILLE-Musée Grobet Labad
132025101;FR-132025101;MARSEILLE-CI de la poésie
132025201;FR-132025201;MARSEILLE-Musée Beaux-Arts
132032201;FR-132032201;AIX-MRS-Marseille MIRREL
132065101;FR-132065101;MARSEILLE-Musee Cantini
132132301;FR-132132301;MARSEILLE-Bib. Ecole Centrale
132135201;FR-132135201;AIX-MRS-I2M
132135401;FR-132135401;MARSEILLE-Musee Art et Tradition
132139901;FR-132139901;MARSEILLE-Ecole Centrale Theses
140475201;FR-140475201;BAYEUX- Bib. du chapitre (IRHT)
140476201;FR-140476201;BAYEUX-BM
140605301;FR-140605301;BENOUVILLE-IEJP
141182101;FR-141182101;CAEN-BU P. Sineux
141182102;FR-141182102;CAEN-BU M. Brès
141182103;FR-141182103;CAEN-BU R. Franklin
141182201;FR-141182201;CAEN-BUFR Carto.Geo.Eco.Gestion
141182202;FR-141182202;CAEN-BUFR Sc. Homme P Barbéris
141182203;FR-141182203;CAEN-CRAHM
141182205;FR-141182205;CAEN-BUFR droit N. Politis
141182206;FR-141182206;CAEN-BUFR T. Jansson
141182208;FR-141182208;CAEN-BUFR historique M. Deries
141182209;FR-141182209;CAEN-Média Normandie
141182210;FR-141182210;CAEN-MRSH
141182212;FR-141182212;CAEN-INSPE G. Mialaret
141182301;FR-141182301;CAEN-M2C
141182302;FR-141182302;CAEN-IAE/EMN
141182303;FR-141182303;CAEN-ESAM
141182304;FR-141182304;CAEN-Antenne SciencesPo Rennes
141182305;FR-141182305;CAEN-CETH
141185101;FR-141185101;CAEN-Archives Départementales
141185102;FR-141185102;CAEN-DRAC
141185103;FR-141185103;CAEN-CRDP
141185104;FR-141185104;CAEN-MEMORIAL
141185106;FR-141185106;CAEN-AM
